	dim	walk	num_walk	p	q	score	std
29	50.0	5.0	5.0	1.5	1.0	0.6137301587301588	0.2901724602531095
30	50.0	5.0	5.0	1.75	1.0	0.7137301587301588	0.22683479658842173
31	50.0	5.0	5.0	2.0	1.0	0.728015873015873	0.2218670773233379
32	50.0	5.0	5.0	0.25	1.25	0.728015873015873	0.2218670773233379
33	50.0	5.0	5.0	0.5	1.25	0.6613492063492064	0.3120975715700047
34	50.0	5.0	5.0	0.75	1.25	0.6391269841269841	0.2817637038946846
35	50.0	5.0	5.0	1.0	1.25	0.7137301587301588	0.22683479658842173
36	50.0	5.0	5.0	1.25	1.25	0.7137301587301588	0.22683479658842173
37	50.0	5.0	5.0	1.5	1.25	0.728015873015873	0.2218670773233379
38	50.0	5.0	5.0	1.75	1.25	0.7613492063492063	0.23480854522366282
39	50.0	5.0	5.0	2.0	1.25	0.6946825396825396	0.20271340574250357
40	50.0	5.0	5.0	0.25	1.5	0.7137301587301588	0.22683479658842173
41	50.0	5.0	5.0	0.5	1.5	0.7137301587301588	0.22683479658842173
42	50.0	5.0	5.0	0.75	1.5	0.628015873015873	0.29125276754594903
43	50.0	5.0	5.0	1.0	1.5	0.728015873015873	0.2218670773233379
44	50.0	5.0	5.0	1.25	1.5	0.7391269841269841	0.20387591325866497
45	50.0	5.0	5.0	1.5	1.5	0.6946825396825396	0.20271340574250357
46	50.0	5.0	5.0	1.75	1.5	0.628015873015873	0.29125276754594903
47	50.0	5.0	5.0	2.0	1.5	0.628015873015873	0.29125276754594903
48	50.0	5.0	5.0	0.25	1.75	0.7248412698412698	0.21002826778275743
49	50.0	5.0	5.0	0.5	1.75	0.628015873015873	0.29125276754594903
50	50.0	5.0	5.0	0.75	1.75	0.728015873015873	0.2218670773233379
51	50.0	5.0	5.0	1.0	1.75	0.728015873015873	0.2218670773233379
52	50.0	5.0	5.0	1.25	1.75	0.7057936507936508	0.18486171484523314
53	50.0	5.0	5.0	1.5	1.75	0.7613492063492063	0.23480854522366282
54	50.0	5.0	5.0	1.75	1.75	0.628015873015873	0.29125276754594903
55	50.0	5.0	5.0	2.0	1.75	0.728015873015873	0.2218670773233379
56	50.0	5.0	5.0	0.25	2.0	0.6248412698412699	0.28121189028218496
57	50.0	5.0	5.0	0.5	2.0	0.728015873015873	0.2218670773233379
58	50.0	5.0	5.0	0.75	2.0	0.7137301587301588	0.22683479658842173
59	50.0	5.0	5.0	1.0	2.0	0.6613492063492064	0.2301313749479843
60	50.0	5.0	5.0	1.25	2.0	0.728015873015873	0.2218670773233379
61	50.0	5.0	5.0	1.5	2.0	0.6581746031746032	0.3030981475107352
62	50.0	5.0	5.0	1.75	2.0	0.6946825396825396	0.25162461542930786
63	50.0	5.0	5.0	2.0	2.0	0.728015873015873	0.2218670773233379
64	50.0	5.0	10.0	0.25	0.25	0.6803968253968253	0.205838210395093
65	50.0	5.0	10.0	0.5	0.25	0.628015873015873	0.29125276754594903
66	50.0	5.0	10.0	0.75	0.25	0.7057936507936508	0.23747857974508463
67	50.0	5.0	10.0	1.0	0.25	0.7724603174603175	0.21618209957433304
68	50.0	5.0	10.0	1.25	0.25	0.6946825396825396	0.20271340574250357
69	50.0	5.0	10.0	1.5	0.25	0.6137301587301588	0.2901724602531095
70	50.0	5.0	10.0	1.75	0.25	0.7391269841269841	0.20387591325866497
71	50.0	5.0	10.0	2.0	0.25	0.6803968253968253	0.205838210395093
72	50.0	5.0	10.0	0.25	0.5	0.628015873015873	0.29125276754594903
73	50.0	5.0	10.0	0.5	0.5	0.6613492063492064	0.3120975715700047
74	50.0	5.0	10.0	0.75	0.5	0.7613492063492063	0.23480854522366282
75	50.0	5.0	10.0	1.0	0.5	0.7391269841269841	0.20387591325866497
76	50.0	5.0	10.0	1.25	0.5	0.7391269841269841	0.20387591325866497
77	50.0	5.0	10.0	1.5	0.5	0.7613492063492063	0.23480854522366282
78	50.0	5.0	10.0	1.75	0.5	0.628015873015873	0.29125276754594903
79	50.0	5.0	10.0	2.0	0.5	0.728015873015873	0.2218670773233379
